                                                                12.03.2024 15:09
________________________________________________________________________________



Kurvenname:
  !]36[Avrami-AB12-CD34-1
Kurvenwerte:
          Index              t             Ts             Tr           Wert
                           [s]           [°C]           [°C]        [Wg^-1]
            215            215         48,028         48,000       0,104298
            216            216         48,027         48,000       0,101521
            217            217         48,026         48,000       0,098823
            218            218         48,026         48,000      0,0961882
            219            219         48,025         48,000      0,0936842
            220            220         48,024         48,000      0,0912966
            221            221         48,024         48,000      0,0890245
            222            222         48,023         48,000      0,0867803
            223            223         48,023         48,000      0,0846739
            224            224         48,022         48,000      0,0825983
            225            225         48,021         48,000      0,0805855
            226            226         48,021         48,000      0,0786243
            227            227         48,020         48,000      0,0768146
            228            228         48,020         48,000      0,0750409
            229            229         48,020         48,000      0,0733295
            230            230         48,019         48,000      0,0716325
            231            231         48,019         48,000      0,0700288
            232            232         48,018         48,000      0,0684181
            233            233         48,018         48,000      0,0668976
            234            234         48,017         48,000      0,0654468
            235            235         48,017         48,000      0,0640739
            236            236         48,017         48,000      0,0627045
            237            237         48,016         48,000      0,0613715
            238            238         48,016         48,000      0,0600663
            239            239         48,016         48,000      0,0588519
            240            240         48,015         48,000      0,0576265
            241            241         48,015         48,000      0,0564844
            242            242         48,015         48,000      0,0554115
            243            243         48,015         48,000       0,054426
            244            244         48,014         48,000      0,0534093
            245            245         48,014         48,000      0,0524099
            246            246         48,014         48,000      0,0514268
            247            247         48,013         48,000      0,0505224
            248            248         48,013         48,000      0,0495972
            249            249         48,013         48,000      0,0486885
            250            250         48,013         48,000      0,0477986
            251            251         48,013         48,000      0,0469765
            252            252         48,012         48,000      0,0461318
            253            253         48,012         48,000      0,0453331
            254            254         48,012         48,000       0,044574
            255            255         48,012         48,000      0,0438785
            256            256         48,012         48,000      0,0431741
            257            257         48,011         48,000      0,0424861
            258            258         48,011         48,000      0,0418158
            259            259         48,011         48,000      0,0412068
            260            260         48,011         48,000      0,0405751
            261            261         48,011         48,000      0,0399464
            262            262         48,010         48,000      0,0393275
            263            263         48,010         48,000      0,0387372
            264            264         48,010         48,000      0,0381488
            265            265         48,010         48,000      0,0375781
            266            266         48,010         48,000      0,0370211
            267            267         48,010         48,000      0,0365051
            268            268         48,010         48,000      0,0359815
            269            269         48,009         48,000      0,0354641
            270            270         48,009         48,000      0,0349554
            271            271         48,009         48,000       0,034488
            272            272         48,009         48,000      0,0340216
            273            273         48,009         48,000       0,033568
            274            274         48,009         48,000      0,0331324
            275            275         48,009         48,000      0,0327445
            276            276         48,009         48,000      0,0323419
            277            277         48,009         48,000      0,0319419
            278            278         48,008         48,000        0,03155
            279            279         48,008         48,000      0,0311917
            280            280         48,008         48,000      0,0308152
            281            281         48,008         48,000      0,0304391
            282            282         48,008         48,000      0,0300688
            283            283         48,008         48,000      0,0297105
            284            284         48,008         48,000      0,0293551
            285            285         48,008         48,000      0,0290112
            286            286         48,008         48,000      0,0286742
            287            287         48,008         48,000      0,0283413
            288            288         48,007         48,000      0,0280071
            289            289         48,007         48,000      0,0276802
            290            290         48,007         48,000      0,0273583
